node_1,node_2,endpoint_1,endpoint_2,raw_code_1,raw_code_2,definitely_direct,possibly_direct,no_latent_confounder,possibly_latent_confounder
Topic_1,Topic_4,arrow,arrow,1,1,False,False,False,False
Topic_1,Topic_5,arrow,arrow,1,1,False,False,False,False
Topic_1,Topic_6,arrow,tail,1,-1,False,False,False,False
Topic_1,Topic_7,tail,arrow,-1,1,False,False,False,False
Topic_1,Topic_8,arrow,arrow,1,1,False,False,False,False
Topic_1,Topic_9,tail,arrow,-1,1,False,False,False,False
Topic_1,Topic_11,tail,arrow,-1,1,False,False,False,False
Topic_1,Topic_12,arrow,arrow,1,1,False,False,False,False
Topic_2,Topic_3,arrow,arrow,1,1,False,False,False,False
Topic_2,Topic_4,arrow,arrow,1,1,False,False,False,False
Topic_2,Topic_6,arrow,arrow,1,1,False,False,False,False
Topic_2,Topic_7,arrow,arrow,1,1,False,False,False,False
Topic_2,Topic_8,arrow,arrow,1,1,False,False,False,False
Topic_2,Topic_11,tail,arrow,-1,1,False,False,False,False
Topic_2,Topic_12,arrow,arrow,1,1,False,False,False,False
Topic_3,Topic_5,arrow,arrow,1,1,False,False,False,False
Topic_3,Topic_6,arrow,arrow,1,1,False,False,False,False
Topic_3,Topic_7,arrow,arrow,1,1,False,False,False,False
Topic_3,Topic_8,circle,arrow,2,1,False,False,False,False
Topic_3,Topic_9,arrow,arrow,1,1,False,False,False,False
Topic_3,Topic_10,arrow,arrow,1,1,False,False,False,False
Topic_4,Topic_6,arrow,arrow,1,1,False,False,False,False
Topic_4,Topic_9,arrow,arrow,1,1,False,False,False,False
Topic_4,Topic_10,arrow,arrow,1,1,False,False,False,False
Topic_4,Topic_11,arrow,arrow,1,1,False,False,False,False
Topic_4,Topic_12,arrow,arrow,1,1,False,False,False,False
Topic_5,Topic_7,arrow,arrow,1,1,False,False,False,False
Topic_5,Topic_8,arrow,arrow,1,1,False,False,False,False
Topic_5,Topic_9,arrow,arrow,1,1,False,False,False,False
Topic_5,Topic_10,arrow,arrow,1,1,False,False,False,False
Topic_5,Topic_11,arrow,arrow,1,1,False,False,False,False
Topic_6,Topic_8,arrow,arrow,1,1,False,False,False,False
Topic_6,Topic_10,arrow,arrow,1,1,False,False,False,False
Topic_6,Topic_11,tail,arrow,-1,1,False,False,False,False
Topic_6,Topic_13,arrow,circle,1,2,False,False,False,False
Topic_7,Topic_8,arrow,arrow,1,1,False,False,False,False
Topic_7,Topic_9,arrow,arrow,1,1,False,False,False,False
Topic_7,Topic_12,arrow,arrow,1,1,False,False,False,False
Topic_7,Topic_13,arrow,tail,1,-1,False,False,False,False
Topic_8,Topic_9,arrow,arrow,1,1,False,False,False,False
Topic_8,Topic_10,arrow,arrow,1,1,False,False,False,False
Topic_8,Topic_11,tail,arrow,-1,1,False,False,False,False
Topic_8,Topic_12,arrow,arrow,1,1,False,False,False,False
Topic_9,Topic_10,arrow,tail,1,-1,False,False,False,False
Topic_9,Topic_11,tail,arrow,-1,1,False,False,False,False
Topic_9,Topic_12,arrow,arrow,1,1,False,False,False,False
Topic_9,Topic_13,arrow,tail,1,-1,False,False,False,False
Topic_10,Topic_11,arrow,arrow,1,1,False,False,False,False
Topic_10,Topic_12,arrow,arrow,1,1,False,False,False,False
Topic_11,Topic_12,arrow,arrow,1,1,False,False,False,False
Topic_11,Topic_13,arrow,tail,1,-1,False,False,False,False
Topic_12,Topic_13,arrow,circle,1,2,False,False,False,False
