num_topics,alpha,coherence_cv,perplexity_log
12,0.01,0.48255752878171515,-8.261215175992172
12,0.1,0.48563471068305303,-8.151760323001152
12,0.3,0.48249424295173965,-8.114492193357286
12,0.5,0.48491207883244863,-8.099216022337979
12,0.7,0.47609625671539274,-8.107641755708306
12,0.9,0.486325617371453,-8.103071612643467
12,1.1,0.4653698584865144,-8.113764182109325
12,symmetric,0.47929538931512455,-8.159164244932558
12,asymmetric,0.48287617560908097,-8.161254116878261
13,0.01,0.4544057977508744,-8.744235476561121
13,0.1,0.46656694281770245,-8.638532638277479
13,0.3,0.4908299119408319,-8.580970069153626
13,0.5,0.47865736640507967,-8.57636760920268
13,0.7,0.47560786000532423,-8.578331035695951
13,0.9,0.4788415881111987,-8.605619725908694
13,1.1,0.4654576584507578,-8.623929107122082
13,symmetric,0.46245458577033527,-8.650688570915177
13,asymmetric,0.4554014028014338,-8.638667524547992
14,0.01,0.4815848004598281,-9.257164743542063
14,0.1,0.4886510456598566,-9.155491111427635
14,0.3,0.5031850602501758,-9.141471284698673
14,0.5,0.4982958532466425,-9.101298503180276
14,0.7,0.49468809620463444,-9.124656923546036
14,0.9,0.47965565336860855,-9.139616714931277
14,1.1,0.47637700387701826,-9.154879969985874
14,symmetric,0.4841509041546099,-9.170508910562557
14,asymmetric,0.4711546662811248,-9.174966136066939
15,0.01,0.4745088680003155,-9.745607367059351
15,0.1,0.49212707765400815,-9.650872656593156
15,0.3,0.4921848633539712,-9.622078581593746
15,0.5,0.496143061927779,-9.618507693267588
15,0.7,0.4818340195745355,-9.612176881793149
15,0.9,0.48722057115567097,-9.652717680888204
15,1.1,0.49093158064815035,-9.651755914983468
15,symmetric,0.48473540221458733,-9.667171770014264
15,asymmetric,0.47447810970577886,-9.677282133505608
16,0.01,0.4749204918161537,-10.161871178748008
16,0.1,0.4915750268614748,-10.05807809797179
16,0.3,0.49093694193670273,-10.022485292481777
16,0.5,0.49142048483323497,-10.024400001679554
16,0.7,0.4833031202870912,-10.016978760278612
16,0.9,0.4899749048172897,-10.020051836287273
16,1.1,0.48505644941520304,-10.02221226752018
16,symmetric,0.4825039419146877,-10.089102513574897
16,asymmetric,0.49711524823896136,-10.07215125759759
17,0.01,0.46009254099581226,-10.686340782240142
17,0.1,0.47571059311537633,-10.57506956881332
17,0.3,0.49447263278986464,-10.541386650724904
17,0.5,0.5008559332121365,-10.520600488913372
17,0.7,0.4862970962633147,-10.523148558285392
17,0.9,0.4792343854510393,-10.52891342623949
17,1.1,0.4652608548215639,-10.580452493038871
17,symmetric,0.4724203607505178,-10.595446653363378
17,asymmetric,0.46483313301303225,-10.601287340747433
