source,target,endpoints
topic_0,topic_1,2--1
topic_0,topic_9,2--1
topic_1,topic_5,1--1
topic_1,topic_7,1---1
topic_1,topic_9,1--1
topic_2,topic_7,2--1
topic_3,topic_6,1--1
topic_3,topic_7,1--1
topic_3,topic_18,1--1
topic_4,topic_9,1--1
topic_4,topic_12,1--1
topic_4,topic_13,1--1
topic_5,topic_12,1--1
topic_6,topic_8,1--1
topic_6,topic_11,1--1
topic_6,topic_13,1--1
topic_6,topic_17,1--1
topic_8,topic_10,1--1
topic_8,topic_11,1--1
topic_8,topic_13,1--1
topic_8,topic_18,1---1
topic_10,topic_14,1--2
topic_10,topic_16,1--1
topic_10,topic_18,1--1
topic_11,topic_14,1--2
topic_11,topic_15,-1--1
topic_11,topic_17,1--2
topic_13,topic_16,1--1
topic_14,topic_15,-1--1
topic_14,topic_17,2--1
topic_15,topic_17,1---1
