,topic_0,topic_1,topic_2,topic_4,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_13,topic_14,topic_15,topic_16,topic_18
topic_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
topic_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
topic_2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
topic_4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
topic_6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
topic_7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
topic_8,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0
topic_9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
topic_10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
topic_11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
topic_13,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
topic_14,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
topic_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
topic_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
topic_18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
