target,target_label,root,root_label,prior,P(Y|X=1),P(Y|X=0),delta_X1,delta_X0
topic_0,Passenger & Crew Injuries,topic_14,High EGT,0.5582811854846425,0.5582811854846423,0.5582811854846423,-1.1102230246251565e-16,-1.1102230246251565e-16
topic_0,Passenger & Crew Injuries,topic_2,ATC Communication Issues,0.5582811854846425,0.5582811854846423,0.5582811854846423,-1.1102230246251565e-16,-1.1102230246251565e-16
topic_0,Passenger & Crew Injuries,topic_8,Fuel System Installation Issues,0.5582811854846425,0.5576794987538489,0.5583221891306845,-0.000601686730793527,4.100364604209261e-05
topic_1,Aircraft Structural Damage,topic_14,High EGT,0.2735257019938974,0.2735257019938974,0.2735257019938974,0.0,0.0
topic_1,Aircraft Structural Damage,topic_2,ATC Communication Issues,0.2735257019938974,0.24053317792578718,0.28291278494969235,-0.032992524068110235,0.009387082955794934
topic_1,Aircraft Structural Damage,topic_8,Fuel System Installation Issues,0.2735257019938974,0.2730062771250549,0.27356109967241926,-0.000519424868842544,3.539767852184239e-05
topic_15,Turbine & Compressor Damage,topic_14,High EGT,0.04312467602575476,0.347000736053936,0.025302599246630007,0.30387606002818124,-0.017822076779124753
topic_15,Turbine & Compressor Damage,topic_2,ATC Communication Issues,0.04312467602575476,0.04312467602575477,0.04312467602575477,6.938893903907228e-18,6.938893903907228e-18
topic_15,Turbine & Compressor Damage,topic_8,Fuel System Installation Issues,0.04312467602575476,0.05937892287903681,0.04201698434743881,0.01625424685328205,-0.001107691678315953
topic_16,Smoke or Odor in Cabin,topic_14,High EGT,0.055321885059872816,0.08103530076617639,0.05381381473367206,0.025713415706303575,-0.0015080703262007542
topic_16,Smoke or Odor in Cabin,topic_2,ATC Communication Issues,0.055321885059872816,0.0553218850598728,0.055321885059872816,-1.3877787807814457e-17,0.0
topic_16,Smoke or Odor in Cabin,topic_8,Fuel System Installation Issues,0.055321885059872816,0.1119945241104018,0.05145976759413498,0.05667263905052898,-0.0038621174657378354
topic_18,Hydraulic System Pressure Issues,topic_14,High EGT,0.047132230185448785,0.08229849323999999,0.045069758268,0.03516626305455121,-0.002062471917448787
topic_18,Hydraulic System Pressure Issues,topic_2,ATC Communication Issues,0.047132230185448785,0.04713223018544878,0.04713223018544878,-6.938893903907228e-18,-6.938893903907228e-18
topic_18,Hydraulic System Pressure Issues,topic_8,Fuel System Installation Issues,0.047132230185448785,0.09402120527999999,0.043936848204000005,0.04688897509455121,-0.0031953819814487805
